Num seq;repeticiones;rssi;timestamp
627;3;-129.00;21:09:54
628;1;-101.00;21:09:55
629;3;-101.33;21:09:57
630;2;-99.50;21:09:59
631;1;-95.00;21:10:01
632;7;-96.43;21:10:03
633;6;-96.50;21:10:05
634;6;-97.17;21:10:07
635;1;-104.00;21:10:09
636;2;-98.00;21:10:11
637;3;-97.67;21:10:13
638;5;-97.40;21:10:15
639;7;-98.43;21:10:17
640;1;-95.00;21:10:25
644;6;-98.17;21:10:27
645;4;-98.00;21:10:29
646;3;-100.33;21:10:31
647;1;-100.00;21:10:33
648;5;-98.60;21:10:35
649;4;-98.50;21:10:37
650;2;-100.00;21:10:41
652;3;-97.67;21:10:43
653;5;-98.00;21:10:45
654;4;-98.00;21:10:47
655;1;-99.00;21:10:49
656;4;-97.50;21:10:51
