Num seq;repeticiones;rssi;timestamp
280;5;-99.40;20:58:19
281;7;-80.43;20:58:21
282;7;-79.43;20:58:23
283;6;-80.50;20:58:25
284;7;-77.14;20:58:27
285;4;-80.50;20:58:29
286;6;-80.83;20:58:31
287;7;-81.71;20:58:33
288;7;-80.43;20:58:35
289;5;-80.00;20:58:37
290;7;-80.86;20:58:39
291;6;-82.00;20:58:41
292;7;-83.57;20:58:43
293;8;-83.00;20:58:45
294;6;-90.00;20:58:47
295;5;-81.80;20:58:49
296;7;-81.71;20:58:51
297;6;-82.83;20:58:53
298;6;-85.83;20:58:55
299;6;-85.33;20:58:57
300;5;-87.60;20:58:59
301;6;-87.00;20:59:01
302;7;-85.29;20:59:03
303;6;-87.00;20:59:05
304;7;-89.00;20:59:07
305;3;-87.67;20:59:09
306;6;-85.67;20:59:11
307;6;-86.17;20:59:13
308;7;-83.14;20:59:15
309;6;-81.50;20:59:17
