Num seq;repeticiones;rssi;timestamp
222;7;-89.14;20:56:23
223;5;-77.80;20:56:25
224;5;-79.00;20:56:27
225;8;-77.38;20:56:29
226;5;-79.40;20:56:31
227;6;-77.83;20:56:33
228;7;-76.43;20:56:35
229;2;-74.00;20:56:37
230;7;-76.00;20:56:39
231;7;-76.57;20:56:41
232;6;-76.17;20:56:43
233;9;-75.89;20:56:45
234;6;-75.83;20:56:47
235;7;-76.57;20:56:49
236;6;-76.17;20:56:51
237;7;-73.14;20:56:53
238;5;-75.20;20:56:55
239;5;-77.80;20:56:57
240;4;-75.50;20:56:59
241;7;-77.29;20:57:01
242;7;-76.57;20:57:03
243;4;-77.50;20:57:05
244;4;-77.00;20:57:07
245;7;-77.00;20:57:09
246;7;-76.57;20:57:11
247;7;-75.71;20:57:13
248;6;-76.33;20:57:15
249;3;-80.33;20:57:17
250;5;-76.00;20:57:19
251;6;-76.50;20:57:21
