Num seq;repeticiones;rssi;timestamp
42;2;-98.00;20:50:23
43;7;-68.43;20:50:25
44;6;-74.33;20:50:27
45;7;-66.00;20:50:29
46;5;-68.00;20:50:31
47;7;-70.71;20:50:33
48;7;-71.14;20:50:35
49;5;-65.40;20:50:37
50;5;-67.80;20:50:39
51;5;-61.40;20:50:41
52;6;-59.00;20:50:43
53;8;-59.00;20:50:45
54;5;-67.80;20:50:47
55;6;-50.50;20:50:49
56;4;-46.00;20:50:51
57;5;-47.00;20:50:53
58;7;-50.14;20:50:55
59;7;-50.00;20:50:57
60;5;-48.00;20:50:59
61;4;-51.75;20:51:01
62;6;-50.17;20:51:03
63;6;-54.00;20:51:05
64;6;-60.17;20:51:07
65;6;-59.50;20:51:09
66;4;-57.75;20:51:11
67;7;-61.86;20:51:13
68;7;-59.71;20:51:15
69;8;-52.63;20:51:17
70;6;-57.17;20:51:19
71;5;-59.00;20:51:21
