Num seq;repeticiones;rssi;timestamp
107;6;-54.33;20:52:33
108;7;-45.86;20:52:35
109;6;-45.33;20:52:37
110;7;-46.57;20:52:39
111;7;-47.86;20:52:41
112;8;-46.75;20:52:43
113;7;-46.14;20:52:45
114;6;-46.33;20:52:47
115;7;-52.00;20:52:49
116;6;-47.67;20:52:51
117;7;-45.29;20:52:53
118;7;-47.71;20:52:55
119;6;-53.00;20:52:57
120;8;-46.00;20:52:59
121;5;-54.00;20:53:01
122;7;-47.00;20:53:03
123;7;-49.00;20:53:05
124;6;-53.67;20:53:07
125;5;-54.80;20:53:09
126;6;-46.33;20:53:11
127;7;-51.14;20:53:13
128;8;-47.00;20:53:15
129;5;-46.20;20:53:17
130;7;-46.57;20:53:19
131;6;-52.17;20:53:21
132;7;-45.29;20:53:23
133;5;-45.80;20:53:25
134;7;-51.86;20:53:27
135;7;-46.43;20:53:29
136;6;-53.00;20:53:31
