Num seq;repeticiones;rssi;timestamp
441;4;-116.25;21:03:41
442;6;-92.83;21:03:43
443;6;-92.00;21:03:45
444;5;-91.00;21:03:47
445;5;-91.40;21:03:49
446;6;-92.67;21:03:51
447;7;-92.00;21:03:53
448;5;-93.00;21:03:55
449;4;-94.25;21:03:57
450;7;-94.00;21:03:59
451;6;-91.00;21:04:01
452;4;-91.50;21:04:03
453;4;-90.50;21:04:05
454;5;-90.60;21:04:07
455;7;-90.14;21:04:09
456;5;-91.80;21:04:11
457;6;-89.50;21:04:13
458;4;-91.00;21:04:15
459;5;-89.00;21:04:17
460;6;-88.83;21:04:19
461;7;-92.00;21:04:21
462;5;-92.40;21:04:23
463;3;-92.67;21:04:25
464;4;-90.75;21:04:27
465;5;-91.20;21:04:29
466;7;-89.43;21:04:31
467;6;-90.50;21:04:33
468;4;-91.25;21:04:35
469;6;-89.33;21:04:37
470;6;-90.83;21:04:39
